A1,A2a,A2a1,A3_1,A3_2,A3_3,A3_4,A3_5,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B4,B4a,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B10,B102,B103,B104,B105,B11,B111,B112_1,B112_2,B112_3,B112_4,B112_5,B112_6,B112_7,B112_8,B112_9,B112_10,B112_11,B112_12,B112_13,B112_14,B112_15,C1,C1a,C1b,C1c,C1d,C2,C2a,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C5,C61,C61a,C62,C62a,C63,C63a,C64,C64a,C7,C8,C8a,E1,E2,E2Y,E2M,E3,E4,E5,E7,E8a,E8b,code,YY,CC,CITY,ENERGY_CODE,TY,WI
1,,,1,,,,,,,1,,,1,,,,2,,1,,4,,3,,1,1,,,,,,,,,1,3,,2,,1,,4,,4,,3,2,,,4,,2,1,1,1,,,,,,,,,,,,,,2,65,3,3000,200,4,,4,1,,,,,,1,1,,1,,1,,1,,5,12,,,10,44,3,3,7,4,1,1,2,110022,2010,1798,1,1,1,70
1,,,1,,,,,1,1,,,,1,,,,2,,1,,4,,2,,,,1,1,,,,,,,,3,,3,,2,,4,,2,,3,2,,,,,2,,1,1,,,,,,,1,,,,,,,1,50,,3000,200,4,,4,1,,1,1,,,4,1,,1,,1,,1,,4,,,1,9,,,2,12,4,1,1,2,110026,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,3,,,,,1,1,1,1,,,,,3,,3,,6,,3,,3,,3,2,,2,1,3,2,1,1,,,,,,,,,,,,,,,2,80,3,3000,200,6,,4,1,,,,,,1,1,,1,,1,,1,,2,4,,1,7,,,3,2,1,1,1,2,110027,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,5,,5,,,,1,1,1,,1,1,,,,4,,5,,2,,4,,3,,4,2,,,1,2,2,1,1,,,,,,,,1,,,,,,,1,65,,3000,200,4,,3,1,,,,,,1,1,,1,,1,,1,,2,7,,1,10,41,11,1,13,1,1,2,1,110029,2011,1798,1,1,1,70
1,,,1,,,,,1,1,1,,,,,,,2,,2,6,3,,4,,1,,,,,,,,,,,2,,3,,3,,3,,2,,2,2,,2,1,2,2,1,1,,,,,,,,1,,,,,,,1,12,,3000,200,4,,5,1,1,,,,,2,1,,1,,1,,1,,4,4,,1,8,,,3,13,1,1,1,2,110030,2000,1998,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,5,,3,,,,,,,1,1,1,1,1,,5,,7,,8,,7,,6,,2,2,,2,5,2,2,1,1,,,,,,,,,,,,,,,1,72,,3000,200,5,,5,1,,1,,,,5,1,,1,,1,,1,,5,10,,1,9,,,3,12,1,1,2,1,110031,2013,1987,1,1,1,70
1,1,1,1,,,,,1,1,,,1,,,,,2,,2,4,3,,2,,1,1,1,1,1,,,,,,,3,,2,,1,,2,,3,,2,1,,,,,2,,1,,,1,,,,,1,,,,,,,2,81,3,3000,200,5,,5,1,1,,1,,,5,1,,1,,2,1600,1,,6,4,,1,9,,,2,5,1,1,1,2,110032,2012,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,5,,2,,,,,1,,1,1,1,1,,,5,,4,,8,,5,,3,,3,2,,,1,,2,,1,,,,,,,,,,,,,,,1,68,,3000,200,8,,5,1,1,1,,,,4,1,,1,,1,,1,,6,2,,1,9,,,1,12,1,1,2,1,110033,2009,1998,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,2,2,2,,6,10,,,,1,,,,,,,,1,,2,,1,,2,,1,,3,2,,2,4,2,2,1,1,,,,,,,,,,,,,,,2,25.5,3,3000,200,2,,1,1,,,,,,1,1,,1,,1,,1,,7,2,,1,10,40,11,1,13,1,1,1,2,110035,2000,1587,1,1,1,70
1,,,1,,,,,,,,,1,,,,,2,,1,,2,,3,,,,,1,,,1,,,,,3,,2,,2,,4,,3,,2,1,1,,,,2,,1,,,,,,,,1,,,,,,,2,70,3,3000,200,5,,1,1,,,,,,5,1,,1,,1,,2,3000,5,10,,,10,44,12,1,13,1,1,1,2,110036,2010,1798,1,1,1,70
